Source,Search Term,Job Title,Company Name,Location,Salary,Page
Indeed,data scientist,Data Scientist,LexisNexis,"Raleigh, NC",NA,290
Indeed,data scientist,Data Scientist,ManTech International Corporation,"Stafford, VA",NA,290
Indeed,data scientist,Mail Clerk,CDK Global,"Petaluma, CA 94954",NA,290
Indeed,data scientist,Software Engineer,Microsoft,"Redmond, WA 98052",NA,290
Indeed,data scientist,Systems and Data Analyst 2,BOEING,"San Antonio, TX",NA,290
Indeed,data scientist,"Senior Software Engineer, Data Engineering",BuzzFeed,"New York, NY",NA,290
Indeed,data scientist,Principal Algorithm Scientist,Block Engineering,"Southborough, MA",NA,290
Indeed,data scientist,Computational Biologist,"Foundation Medicine, Inc.","Cambridge, MA",NA,290
Indeed,data scientist,Machine Learning Engineer,Robert Half Technology,"Dallas, TX 75201 (City Center District area)",NA,290
Indeed,data scientist,Entry-Level Machine Learning Scientist,Lightmatter,"Boston, MA",NA,290
Indeed,data scientist,Human Protections Specialist,University of New Mexico,"Albuquerque, NM","$3,434 - $5,151 a month",290
Indeed,data scientist,Scientist – Drug Substance Technologies,Amgen,"Cambridge, MA 02142 (East Cambridge area)",NA,290
Indeed,data scientist,Scientist - CardioMetabolic Disorders,Amgen,"Thousand Oaks, CA 91320",NA,290
Indeed,data scientist,Sports Scientist,PepsiCo,"Plano, TX",NA,290
Indeed,data scientist,"Marketing Senior Consultant, Data Science",Lenati,"Seattle, WA 98119 (Queen Anne area)",NA,290
Indeed,data scientist,"Senior Research Program Analyst, R&D",George Washington University,"Foggy Bottom, DC",NA,290
Indeed,data scientist,Test Engineer,Aptima,"Reston, VA 20191",NA,290
Indeed,data scientist,Senior Search Engine Marketing Analyst,TripAdvisor,"Needham, MA",NA,290
Indeed,data scientist,"Scientist I/II, Analytical Development, Separation Sciences",Novavax,"Gaithersburg, MD 20878",NA,290
Indeed,data scientist,Process Development Scientist,Amgen,"Thousand Oaks, CA 91320",NA,290
Indeed,data scientist,Translational Research Post-Doctoral Fellow,"Ferring Pharmaceuticals, Inc.","San Diego, CA",NA,290
Indeed,data scientist,"iOS Senior Machine Learning Engineer, Keyboards - Backend",Apple,"Santa Clara Valley, CA",NA,290
Indeed,data scientist,Laboratory Aide 3,Georgia Department of Public Health,"Decatur, GA","$20,472 - $24,000 a year",290
Indeed,data scientist,Staff Scientist II,Virginia Commonwealth University,"Richmond, VA","$55,000 - $60,000 a year",290
Indeed,data scientist,Associate Scientist / Engineer,Luna Innovations Incorporated,"Charlottesville, VA 22903",NA,290
Indeed,data scientist,UX Design Intern,Cambridge Semantics,"Boston, MA",NA,290
Indeed,data scientist,Nuclear and Chemical Sciences Intern,Lawrence Livermore National Laboratory (LLNL),"Livermore, CA 94550",NA,290
Indeed,data scientist,Environmental Scientist,Parsons,"Syracuse, NY 13235 (Downtown area)",NA,290
Indeed,data scientist,IMA Industrial Post-Doctoral Associate,University of Minnesota,"Minneapolis-Saint Paul, MN",NA,290
Indeed,data scientist,IT Specialist (APPSW)(INET) (MPC Web-Developer),U.S. Federal Government,"Cambridge, MA","$67,643 - $105,400 a year",290
Indeed,data scientist,Information Assurance Specialist,The Aerospace Corporation,"El Segundo, CA 90245",NA,290
Indeed,data scientist,Research Scientist - Pricing and Advertising,Amazon.com,"Seattle, WA",NA,290
Indeed,data scientist,Electronics Engineering Technical Associate,Lawrence Livermore National Laboratory (LLNL),"Livermore, CA 94550",NA,290
Indeed,data scientist,Environmental Engineer/Scientist/Geologist,WSP Group,"San Jose, CA",NA,290
Indeed,data scientist,Environmental Engineer/Scientist,Braun Intertec,"Bloomington, MN",NA,290
Indeed,data scientist,Software Development Engineer,Amazon.com,"Seattle, WA",NA,290
Indeed,data scientist,IT Specialist GS-2210-11/12 (DEU- LCS),Department of the Interior,"Reston, VA","$68,036 - $106,012 a year",290
Indeed,data scientist,MBA General Management and Customer Strategy Intern,Shutterfly,"Redwood City, CA",NA,290
Indeed,data scientist,"Medical Scientist, Pathology Collaborations",Bristol-Myers Squibb,"Princeton, NJ 08540",NA,290
Indeed,data scientist,Environmental Engineer/Scientist/Geologist,WSP USA,"San Jose, CA",NA,290
Indeed,data scientist,Process Development Sr Associate - Pivotal Drug Substance,Amgen,"Cambridge, MA 02142 (East Cambridge area)",NA,290
Indeed,data scientist,Manufacturing Planner (Early Career),BOEING,"Salt Lake City, UT 84116 (Rose Park area)",NA,290
Indeed,data scientist,"Senior Scientist, NMR-Metabolomics",Johnson & Johnson Family of Companies,"Spring House, PA",NA,290
Indeed,data scientist,Project Coordinator,Center for Latino Adolescent and Family Health - N...,"New York, NY 10003 (Greenwich Village area)",NA,290
Indeed,data scientist,Senior Scientist I,"Pharmacyclics, an Abbvie Company","Sunnyvale, CA",NA,290
Indeed,data scientist,Fish and Wildlife Biologist,"Department of the Interior, US Fish and Wildlife S...","Gloucester, VA","$50,598 - $72,437 a year",290
Indeed,data scientist,Integrated Planning and Scheduling Specialist (Experienced),BOEING,"Oklahoma City, OK",NA,290
Indeed,data scientist,Sales Performance Business Intelligence Consultant,Lenati,"Seattle, WA 98119 (Queen Anne area)",NA,290
Indeed,data scientist,Staff Wetlands Specialist,Burns & McDonnell,"Fort Worth, TX 76101 (Downtown area)",NA,290
Indeed,data scientist,Platform Specialist,Autodesk,"San Francisco, CA",NA,290
Indeed,data scientist,Marketing Strategist,CDK Global,"Seattle, WA 98101 (Downtown area)",NA,290
Indeed,data scientist,Executive Office Assistant,BOEING,"Seattle, WA",NA,290
Indeed,data scientist,Staff iOS Software Engineer,Lyric (formerly Parallel),"San Francisco, CA",NA,290
Indeed,data scientist,SR. APPLICATIONS ANALYST,University of Washington Medical Center,"Seattle, WA",NA,290
Indeed,data scientist,"Scientist, Immunology",Shire Pharmaceuticals,"Cambridge, MA 02140 (North Cambridge area)",NA,290
Indeed,data scientist,Sr. Data Scientist: Computer Vision & Deep Learning,Allstate,"Chicago, IL 60601 (Loop area)",NA,290
Indeed,data scientist,Bioreactor Engineer,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",NA,290
Indeed,data scientist,Mid level Quality Systems Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",NA,290
Indeed,data scientist,Principal Consultant - US,ITL USA,"Chicago, IL",NA,290
Indeed,data scientist,"Senior/Principal Scientist Digital Health Platforms, Respira...",Roche,"San Francisco, CA",NA,290
Indeed,data scientist,"Senior/Principal Scientist Digital Health Platforms, Respira...",Genentech,"San Francisco, CA",NA,290
Indeed,data scientist,Marketing Programs Specialist,"Alteryx, Inc.","Irvine, CA 92612",NA,290
Indeed,data scientist,"Research Programmer / Analyst - Physics Department, Mellon C...",Carnegie Mellon University,"Pittsburgh, PA","$37,000 - $78,000 a year",290
Indeed,data scientist,Intern - HR Operations and Total Rewards,"Pharmacyclics, an Abbvie Company","Sunnyvale, CA",NA,290
Indeed,data scientist,Scientist IMI Project in Transporter Cell Line Engineering,Research Center for Molecular Medicine of the Aust...,"Vienna, VA",NA,290
Indeed,data scientist,"Senior Scientist: HPLC, GC",Eurofins Lancaster Laboratories Inc.,"Lancaster, PA",NA,290
Indeed,data scientist,GIS Technician,The Nature Conservancy,"Charlottesville, VA 22901 (29 North area)",$18 an hour,290
Indeed,data scientist,MT / CLS,Altru Health System,"Grand Forks, ND",$24.02 - $30.02 an hour,290
Indeed,data scientist,Resident Project Representative,HDR,"Atlanta, GA",NA,290
Indeed,data scientist,AMBR Scientist,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",NA,290
Indeed,data scientist,Computing Performance Analyst - Mid-level,BOEING,"Bellevue, WA",NA,290
Indeed,data scientist,Biomarker Sales Specialist,EMD,"Raleigh, NC",NA,290
Indeed,data scientist,New Product Development Engineer - Export Controlled Areas,W. L. Gore & Associates,"Elkton, MD",NA,290
Indeed,data scientist,Global Safety Lead (DIR),Shire Pharmaceuticals,"Cambridge, MA 02140 (North Cambridge area)",NA,290
Indeed,data scientist,Product Manager- Applied Insights,Kinnser Software,"Austin, TX 78746",NA,290
Indeed,data scientist,Systems Engineer,DCS Corp,"Ridgecrest, CA 93555",NA,290
Indeed,data scientist,"Planner, Senior",Parsons,"San Diego, CA 92101",NA,290
Indeed,data scientist,Electronic Warfare Test Engineer (Scientist and Engineer Lev...,Bevilacqua Research Corporation,"Eglin AFB, FL",NA,290
Indeed,data scientist,Associate Biologist Intern - Molecular Laboratory Testing,ATCC,"Manassas, VA",NA,290
Indeed,data scientist,Implementation Manager,Dataiku,"New York, NY",NA,290
Indeed,data scientist,Reliability & Maintainability Engineer,BOEING,"St. Louis, MO",NA,290
Indeed,data scientist,Service Engineer,BOEING,"Oklahoma City, OK",NA,290
Indeed,data scientist,Senior Scientist - Biology,EPM Scientific,"Cambridge, MA","$100,000 - $120,000 a year",290
Indeed,data scientist,Research Technician Global Chemical Research,ExxonMobil,"Baytown, TX 77520",NA,290
Indeed,data scientist,Senior Software Engineer,Label Insight,"St. Louis, MO",NA,290
Indeed,data scientist,Senior Informatics Specialist Job,Novo Nordisk,"Seattle, WA 98109 (Westlake area)",NA,290
Indeed,data scientist,QC & Documentation Manager,Shire Pharmaceuticals,"Lexington, MA",NA,290
Indeed,data scientist,Product Mgmt/Strategy Director-ProdDev,Oracle,"New York, NY",NA,290
Indeed,data scientist,T-45 / AV-8B Configuration Management Engineer,BOEING,"St. Louis, MO",NA,290
Indeed,data scientist,CH-47 Field Service Representative - India,BOEING,"Ridley Park, PA",NA,290
Indeed,data scientist,Sr Wetland Scientist / Permitting Specialist,HNTB Corporation,"Rocky Hill, CT",NA,290
Indeed,data scientist,Senior Stock Plan Administrator,Counsyl,"South San Francisco, CA 94080",NA,290
Indeed,data scientist,"Summer 2018 Internship, MBA Product Data Science (Visualizat...",Desk.com,"San Francisco, CA",NA,290
Indeed,data scientist,Quality Assurance Scientist,A10,"East Syracuse, NY",NA,290
Indeed,data scientist,Equipment Operations Scientist,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",NA,290
Indeed,data scientist,Assistant Marketing Manager - Aviation,HDR,"Omaha, NE",NA,290
Indeed,data scientist,Med Director - PCCI,Parkland Health and Hospital System,"Dallas, TX",NA,290
Indeed,data scientist,"HEME/GI FM Scientist Lead, US Oncology",Bristol-Myers Squibb,"Princeton, NJ 08540",NA,290
Indeed,data scientist,Senior Scientist - Molecular Biology,Amgen,"Thousand Oaks, CA 91320",NA,290
Indeed,data scientist,"Post Doctoral Scientist, Political Communications",George Washington University,"Foggy Bottom, DC",NA,290
Indeed,data scientist,Engineer I-Thermal (663001),Ball Aerospace,"Westminster, CO",NA,290
Indeed,data scientist,Marketing Manager,Autodesk,"San Francisco, CA",NA,290
Indeed,data scientist,"Senior Market Research Client Analyst, Media and Digital Pra...",Kantar Millward Brown,"San Francisco, CA",NA,290
Indeed,data scientist,Computer Aided Measurement Systems (CAMS) / Metrology Techni...,BOEING,"Everett, WA 98204 (Holly area)",NA,290
Indeed,data scientist,Upstream Biologics Process Development Scientist,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",NA,290
Indeed,data scientist,Project Engineer I - Mechanical (663249),Ball Aerospace,"Boulder, CO",NA,290
Indeed,data scientist,Senior HPC System Administrator,CSRA,"Bethesda, MD",NA,290
Indeed,data scientist,"Scientist, Flow Cytometry",Adecco,"New Brunswick, NJ",NA,290
Indeed,data scientist,FGP Front Desk Supervisor (35),Ambulatory/Outpatient NYU Langone at Trinity NYU S...,"New York, NY",NA,290
