Let em know Queen! https://t.co/16DKlFbThQ
Turning up the heat!🔥🔥🔥https://t.co/VI4CxdHPX3
They did to @MeekMill what they've done to young black men and women and people of color forever. Read… https://t.co/U9cWW2vgzc
"“Love is an expression of power. We can use it to transform our world.” - Ericka Huggins
 
 #KnowYourHistory… https://t.co/73EMlhZ62H"
". @Ava showed out when she made A Wrinkle in Time. The shots, images and messaging are phenomenal. Take your loved… https://t.co/rjj0JNwxEA"
Thank you @ava for inviting me and @nessnitty to the premiere of your brilliant film A Wrinkle in Time! Continue to… https://t.co/baQxxBP8cS
"“Revolution is a serious thing, the most serious thing about a revolutionary’s life. When one commits oneself to th… https://t.co/gqIBxTKucT"
"“You are your best thing.” - Toni Morrison
 
 #KnowYourHistory #WomensHistoryMonth @yourrightscamp @ravisionmedia https://t.co/kz1vfUdfuN"
"“Each time a woman stands up for herself, without knowing it possible, without claiming it, she stands up for all w… https://t.co/w6HzSj1vPp"
"“If you stick a knife in my back nine inches and pull it out six inches, there's no progress. If you pull it all th… https://t.co/nYxjNcTB0c"
"“If you are silent about your pain, they’ll kill you and say you enjoyed it.” -Zora Neale Hurston
 
 #KnowYourHistory… https://t.co/XGUfylPJmf"
“The revolution has always been in the hands of the young. The young always inherit the revolution.” - Huey P. Newt… https://t.co/bo0YKOQTzR
"“Without new visions, we don’t know what to build, only what to knock down.We not only end up confused, rudderless… https://t.co/59CSM1w3Kk"
As I reflect on my #MillionDollarPledge I realize how much work there is to do in our fight for Social Justice. Don… https://t.co/gBBFmKViDa
I couldn’t end the #10for10 #Encore without hearing from @aliciakeys! She Pledged $15k to Silicon Valley De-Bug for… https://t.co/rcfQOFbINy
I couldn’t end the #10for10 #Encore without hearing from @aliciakeys! She Pledged $15k to Silicon Valley De-Bug for… https://t.co/M7N7qeXnjT
"My brother @e_reid35, the first person to have my back when I first began kneeling. Thank u for joining my… https://t.co/Ub5b3MVUh9"
"My brother @e_reid35, the first person to have my back when I first began kneeling. Thank u for joining my… https://t.co/IlGOKfQLPx"
"She's youngest to donate to my #MillionDollarPledge #10for10 #Encore at 17yo. Accepted to @Harvard , &amp; stars… https://t.co/lVy0dAHvaa"
"She's youngest to donate to my #MillionDollarPledge #10for10 #Encore at 17yo. Accepted to @Harvard , &amp; stars… https://t.co/U1Z98ex9Aq"
"Self proclaimed #politicalnerd, Empowermenteur, Bawse, Esq &amp; HipHop Enthusiast is Attorney @angela_rye who's pledgi… https://t.co/MjGieGF8xS"
"Self proclaimed #politicalnerd, Empowermenteur, Bawse, Esq &amp; HipHop Enthusiast is Attorney @angela_rye who's pledgi… https://t.co/tu8teDOzVN"
Born and raised in Houston and plays for @astrosbaseball Michael Bourn did his #MillionDollarPledge #10for10… https://t.co/hO3K0Ri5ES
Born and raised in Houston and plays for @astrosbaseball Michael Bourn did his #MillionDollarPledge #10for10… https://t.co/mA9j1QKcde
.@treysongz honored 2 call u a friend Thank u 4 donating 2 @unitedwedream who fight 4 immigrant rights… https://t.co/viKlYBvrZe
.@treysongz honored 2 call u a friend Thank u 4 donating 2 @unitedwedream who fight 4 immigrant rights… https://t.co/czxHWtC4xK
"Listen to @quavohuncho “Don’t Discriminate, Donate!” $10k to @yourrightscamp #MillionDollarPledge #10for10 #Encore!… https://t.co/zTxnD7ka2d"
"Listen to @quavohuncho “Don’t Discriminate, Donate!” $10k to @yourrightscamp #MillionDollarPledge #10for10 #Encore!… https://t.co/N9IMUQJbf7"
"@SteveStoute thx u 4 $10k to my #MillionDollarPledge #10for10 #Encore 2 @changethenypd! Now at $1,225,000 for Pledg… https://t.co/beyMIH0ky8"
Thanks @zendaya for donating $15k to our Know Your Rights Camps! You are an amazing role model for all… https://t.co/wgpWxnCIqy
Thanks @zendaya for donating $15k to our Know Your Rights Camps! You are an amazing role model for all… https://t.co/HWRl5WevfS
@kobebryant thanks for leading by example &amp; being a great role model for our young brothers &amp; sisters… https://t.co/KeSGiKN2ZA
@kobebryant thanks for leading by example &amp; being a great role model for our young brothers &amp; sisters… https://t.co/SZro3j5UJH
"Jaylen Brown @FCHWPO pledged $10k to United Playaz for my #10for10 #Encore of my #MillionDollarPledge. Jaylen, than… https://t.co/gl8OVoRpQu"
"Jaylen Brown @FCHWPO pledged $10k to United Playaz for my #10for10 #Encore of my #MillionDollarPledge. Jaylen, than… https://t.co/h5b0yb5saB"
The epitome of #BlackExcellence! @diddy $10k #MillionDollarPledge #10for10 #Encore to @dreamschoolnyc! $35k 4 Dream… https://t.co/CXlpHMt1hV
The epitome of #BlackExcellence! @diddy $10k #MillionDollarPledge #10for10 #Encore to @dreamschoolnyc! $35k 4 Dream… https://t.co/gl1bFTShSx
"She’s my Queen, Co-Founder @yourrightscamp, on @mtv &amp; @hot97, @nessnitty gives $10k to @girlsclubnyc 4… https://t.co/oi0HmfC1QU"
"She‘s my Queen, Co-Founder @yourrightscamp, on @mtv &amp; @hot97, @nessnitty gives $10k to @girlsclubnyc 4… https://t.co/Q81737bCZm"
"Next in the #MillionDollarPledge #10for10 #Encore is a pioneer, innovator, producer, &amp; #LivingLegend! My brother… https://t.co/e5nB7bEKY3"
"Next in the #MillionDollarPledge #10for10 #Encore is a pioneer, innovator, producer, &amp; #LivingLegend! My brother… https://t.co/QajWVLJ44z"
"They don’t want us to pledge, so we gonna PLEDGE MORE! It's the #MillionDollarPledge #10for10 #Encore!My brother… https://t.co/o6m1hL9FX7"
"They don’t want us to pledge, so we gonna PLEDGE MORE! It's the #MillionDollarPledge #10for10 #Encore!My brother… https://t.co/yprNusfsZM"
Day 10 of my #10for10! Thank you @usher for choosing H.O.M.E. for the #MillionDollarPledge! We’re donating $10k eac… https://t.co/iliwW6aXO3
I am happy to announce I have completed my #MillionDollarPledge. For the final #10for10 joining me is my brother… https://t.co/6FF0TGXImW
"Despite my brother @meekmill’s current circumstances, he continues to stay connected in the community of Philly. He… https://t.co/dFFn8uZkIz"
"Thank you to the city of New Orleans, our latest host city for @yourrightscamp. With over 400 kids in attendance &amp;… https://t.co/A6nUOa7FsI"
"My Brother @joeybadass, I appreciate you going #10for10 on my #MillionDollarPledge with me hittin’ me up all the wa… https://t.co/c4DEYLZFQz"
Day 8 of my #10for10! Thank you @joeybadass for adding $10k to Communities United for Police Reform @changethenypd… https://t.co/RdXl8zCx2W
"Brother Nick @nickcannon,I appreciate you hopping on &amp; contributing to my #MillionDollarPledge &amp; not only going… https://t.co/vfMxczwQvP"
