screen_name,name,location,created_at,friends_count,followers_count,statuses_count,favourites_count
realDonaldTrump,Donald J. Trump,"New York, NY",Wed Mar 18 13:46:38 +0000 2009,42,11397769,33136,38
Trump,Trump Organization,"New York, NY",Wed Apr 13 16:51:54 +0000 2016,35,9954,43,125
TrumpGolf,Trump Golf,,Mon Feb 03 13:46:03 +0000 2014,200,8797,758,251
TiffanyATrump,Tiffany Trump,,Tue Feb 01 20:59:30 +0000 2011,79,63138,573,28
IngrahamAngle,Laura Ingraham,DC,Thu Jun 25 21:03:25 +0000 2009,289,851876,26523,71
mike_pence,Mike Pence,,Fri Feb 27 23:04:51 +0000 2009,1208,207552,4572,746
