screen_name,created_at,retweet_count,favorite_count,text
realDonaldTrump,Fri Sep 09 02:00:32 +0000 2016,2859,7030,Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B
mgleslie6,Fri Apr 22 00:33:15 +0000 2016,13,0,"RT @wendellray: ""The Crime."" Now Playing on a Radio Station Near You!! https://t.co/plKKPsN1Sa https://t.co/LDWkXmf5ra"
Trump,Fri Sep 16 21:35:08 +0000 2016,21,61,Did you know that @TrumpGolfDC Is located just 26 miles away from the White House? https://t.co/e5F1O0BWIn https://t.co/nrBVQM34O1
realDonaldTrump,Thu Sep 08 18:16:25 +0000 2016,3710,12860,Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Pe̱a Nieto.
