Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
30.0,Work from Home,Fifth Harmony,49229.0,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,fr,0.8029999999999999,0.585,0.0432,105.01700000000001,0.593,0.10300000000000001,80.0,0
31.0,The Ocean,Mike Perry,48424.0,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,2017-01-01,fr,0.632,0.575,0.028999999999999998,90.037,0.188,0.0225,73.0,0
32.0,Heal Tomorrow,Naïve New Beaters,47997.0,https://open.spotify.com/track/4J6xvZhJh26lmAEAXGDCKu,2017-01-01,fr,0.7190000000000001,0.7340000000000001,0.0305,119.98200000000001,0.32299999999999995,0.0346,52.0,0
33.0,Ain't Your Mama,Jennifer Lopez,47913.0,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72,2017-01-01,fr,0.757,0.6779999999999999,0.233,120.075,0.82,0.0472,79.0,0
34.0,Sex,Cheat Codes,46127.0,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,2017-01-01,fr,0.612,0.6940000000000001,0.166,105.035,0.19399999999999998,0.00411,83.0,0
35.0,Cold Water (feat. Justin Bieber & MØ),Major Lazer,46064.0,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,fr,0.608,0.7979999999999999,0.0432,92.943,0.501,0.0736,85.0,0
36.0,Naha,PNL,45800.0,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0,2017-01-01,fr,0.609,0.517,0.0451,120.914,0.0761,0.231,71.0,0
37.0,In the Name of Love,Martin Garrix,44289.0,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,fr,0.49,0.485,0.0406,133.889,0.196,0.0592,87.0,0
38.0,Bazardée,KeBlack,43993.0,https://open.spotify.com/track/2KiHXiqQA2dHiLfeSxtTeP,2017-01-01,fr,0.772,0.7829999999999999,0.0353,103.079,0.71,0.336,63.0,0
39.0,6.45i,SCH,43304.0,https://open.spotify.com/track/0myHuhA1FkppaClYHRoxX0,2017-01-01,fr,0.59,0.6759999999999999,0.35200000000000004,75.373,0.315,0.631,65.0,0
40.0,Hymn For The Weekend - Seeb Remix,Coldplay,43128.0,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-01,fr,0.565,0.8490000000000001,0.0517,102.03399999999999,0.42700000000000005,0.00868,89.0,0
41.0,Infréquentables,Dosseh,42866.0,https://open.spotify.com/track/63z6p4gpgnpZprANkpBIHH,2017-01-01,fr,0.892,0.489,0.33299999999999996,125.094,0.38299999999999995,0.419,62.0,0
42.0,Perfect Strangers,Jonas Blue,42224.0,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-01-01,fr,0.736,0.835,0.0472,117.958,0.69,0.373,80.0,0
43.0,Réalité augmentée,Nekfeu,41939.0,https://open.spotify.com/track/5jGuAvPX3Ufo55DIZlCaHq,2017-01-01,fr,0.882,0.66,0.444,98.904,0.20800000000000002,0.67,71.0,0
44.0,On m'appelle l'ovni,Jul,41938.0,https://open.spotify.com/track/5cbyl4wFM4UYnQGoA0dcAk,2017-01-01,fr,0.857,0.932,0.0612,145.996,0.904,0.0997,74.0,0
45.0,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,41138.0,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,2017-01-01,fr,0.746,0.877,0.0666,107.985,0.7509999999999999,0.0375,85.0,0
46.0,Humanoïde,Nekfeu,40763.0,https://open.spotify.com/track/6YHNKVx7gSsOX7xq6jaqeq,2017-01-01,fr,0.612,0.59,0.628,82.626,0.601,0.659,71.0,0
47.0,Final Song,MØ,38966.0,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,2017-01-01,fr,0.695,0.672,0.0345,104.988,0.245,0.013999999999999999,81.0,0
48.0,Treat You Better,Shawn Mendes,38629.0,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,fr,0.624,0.8029999999999999,0.24600000000000002,166.018,0.821,0.12300000000000001,86.0,0
49.0,Hundred Miles,Yall,38384.0,https://open.spotify.com/track/5dyDkXi1bnQKSyIdO0JXp8,2017-01-01,fr,0.479,0.7140000000000001,0.109,98.23,0.49,0.025,54.0,0
50.0,Panda,Desiigner,38195.0,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01,fr,0.5760000000000001,0.7659999999999999,0.449,144.833,0.23600000000000002,0.027999999999999997,78.0,0
51.0,Blow,Kaaris,38150.0,https://open.spotify.com/track/5GhWx7Hzju2oRyhVY6k9QH,2017-01-01,fr,0.8079999999999999,0.725,0.0626,125.95200000000001,0.18600000000000003,0.018000000000000002,71.0,0
52.0,Call On Me - Ryan Riback Extended Remix,Starley,37214.0,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,fr,0.6759999999999999,0.843,0.0367,105.00299999999999,0.718,0.0623,70.0,0
53.0,Fast Car,Jonas Blue,36561.0,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,2017-01-01,fr,0.45899999999999996,0.5870000000000001,0.0785,113.90100000000001,0.581,0.45299999999999996,80.0,0
54.0,Oblah,Gradur,36250.0,https://open.spotify.com/track/0sqOIwjQoaiEXcSgl8iqsi,2017-01-01,fr,0.941,0.8759999999999999,0.301,123.984,0.636,0.0323,65.0,0
55.0,Avant tu riais,Nekfeu,36208.0,https://open.spotify.com/track/6AHgVddvpK6wQpifbtInW1,2017-01-01,fr,0.539,0.557,0.45799999999999996,174.824,0.261,0.425,71.0,0
56.0,Bené,PNL,35639.0,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ,2017-01-01,fr,0.784,0.7,0.10800000000000001,82.02799999999999,0.769,0.491,71.0,0
57.0,This Is What You Came For,Calvin Harris,35350.0,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-01-01,fr,0.63,0.9279999999999999,0.0331,123.963,0.465,0.19899999999999998,88.0,0
58.0,"i hate u, i love u (feat. olivia o'brien)",gnash,35291.0,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2017-01-01,fr,0.49200000000000005,0.275,0.3,92.6,0.18,0.687,75.0,0
59.0,Galatée,Nekfeu,35124.0,https://open.spotify.com/track/5kkqEHDSAU5S4TgKQN1l9d,2017-01-01,fr,0.7090000000000001,0.76,0.40399999999999997,93.962,0.7040000000000001,0.401,71.0,0
60.0,Mercy,Shawn Mendes,35019.0,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,fr,0.469,0.68,0.11699999999999999,147.734,0.374,0.13699999999999998,86.0,0
61.0,Dans la légende,PNL,34920.0,https://open.spotify.com/track/5NZpY9WeWFtlHVgepfCamX,2017-01-01,fr,0.7090000000000001,0.597,0.0654,119.975,0.315,0.564,71.0,0
62.0,Say You Won't Let Go,James Arthur,34863.0,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,fr,0.358,0.557,0.059000000000000004,85.04299999999999,0.494,0.695,84.0,0
63.0,Esquimaux,Nekfeu,34214.0,https://open.spotify.com/track/2gcZZpnrxbShZPLKiNUVga,2017-01-01,fr,0.7929999999999999,0.741,0.147,139.963,0.413,0.145,71.0,0
64.0,The Greatest,Sia,34106.0,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,2017-01-01,fr,0.6679999999999999,0.725,0.266,191.94400000000002,0.7290000000000001,0.0102,88.0,0
65.0,Chantaje,Shakira,33719.0,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,fr,0.852,0.773,0.0776,102.03399999999999,0.907,0.187,86.0,0
66.0,Lean On (feat. MØ & DJ Snake),Major Lazer,33281.0,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,2017-01-01,fr,0.723,0.809,0.0625,98.007,0.27399999999999997,0.00346,85.0,0
67.0,Tout donner - Pilule Violette,Maître Gims,33171.0,https://open.spotify.com/track/5ASacvNO76BB7Dxtp74qqz,2017-01-01,fr,0.75,0.634,0.0329,103.95100000000001,0.406,0.14400000000000002,75.0,0
68.0,All We Know,The Chainsmokers,33067.0,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,fr,0.662,0.586,0.0307,90.0,0.29600000000000004,0.09699999999999999,90.0,0
69.0,A Kele Nta,MHD,32108.0,https://open.spotify.com/track/0v9yrgq9lNv5RJ3NPkCxmg,2017-01-01,fr,0.759,0.795,0.203,120.215,0.934,0.5760000000000001,69.0,0
70.0,Love Me Now,John Legend,31568.0,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01,fr,0.488,0.762,0.0865,123.889,0.7090000000000001,0.591,82.0,0
71.0,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,David Guetta,31521.0,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR,2017-01-01,fr,0.36700000000000005,0.915,0.0488,110.169,0.365,0.0022,89.0,0
72.0,Elle et l'autre,Jul,31027.0,https://open.spotify.com/track/783vFwxaUzpGYAOEcGok9w,2017-01-01,fr,0.794,0.8540000000000001,0.0781,144.809,0.789,0.14,74.0,0
73.0,Bailar,Deorro,30443.0,https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp,2017-01-01,fr,0.75,0.8909999999999999,0.22699999999999998,128.065,0.5529999999999999,0.0249,73.0,0
74.0,Poussière,Kaaris,30346.0,https://open.spotify.com/track/4RhPtvcQqowlT2HSc00LxY,2017-01-01,fr,0.743,0.5329999999999999,0.17300000000000001,137.338,0.648,0.794,71.0,0
75.0,Nekketsu,Nekfeu,29488.0,https://open.spotify.com/track/6J4VvZ3pIit9KgFtUDniwm,2017-01-01,fr,0.66,0.562,0.789,85.635,0.659,0.562,71.0,0
76.0,Le regard des gens,Nekfeu,29391.0,https://open.spotify.com/track/0xH4qR6s5TqdzMKRkloBnh,2017-01-01,fr,0.825,0.65,0.188,110.89200000000001,0.358,0.35100000000000003,71.0,0
77.0,Tuesday,Burak Yeter,29164.0,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,fr,0.8390000000000001,0.645,0.081,98.97200000000001,0.64,0.0159,68.0,0
78.0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,28883.0,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,fr,0.728,0.563,0.134,100.01700000000001,0.35200000000000004,0.621,87.0,0
79.0,Sapés comme jamais - Pilule bleue,Maître Gims,28833.0,https://open.spotify.com/track/0CJ31BEjjl1tPIj0CKi9kH,2017-01-01,fr,0.8420000000000001,0.777,0.226,120.081,0.7509999999999999,0.209,75.0,0
80.0,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,28789.0,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2017-01-01,fr,0.7929999999999999,0.7290000000000001,0.0394,121.97200000000001,0.488,0.08,71.0,0
81.0,DA,PNL,28779.0,https://open.spotify.com/track/5UOGzIMvxXyRZIWBbqDcpU,2017-01-01,fr,0.715,0.682,0.1,103.037,0.136,0.325,71.0,0
82.0,Sorry,Justin Bieber,28527.0,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-01-01,fr,0.654,0.76,0.045,99.945,0.41,0.0797,91.0,0
83.0,Andale (feat. Gradur),Sadek,27150.0,https://open.spotify.com/track/3zLMWD22TUiKZ3L6FPjiCL,2017-01-01,fr,0.795,0.6629999999999999,0.218,102.05,0.46399999999999997,0.321,66.0,0
84.0,Lost on You,LP,26987.0,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,2017-01-01,fr,0.433,0.7240000000000001,0.0372,174.00599999999997,0.6890000000000001,0.1,67.0,0
85.0,Shed a Light,Robin Schulz,26933.0,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-01,fr,0.483,0.787,0.102,122.05799999999999,0.58,0.11199999999999999,82.0,0
86.0,White Tiger - Single Version,Izzy Bizu,26817.0,https://open.spotify.com/track/64I0PKLFEKlcvc7fEVUGq0,2017-01-01,fr,0.772,0.5820000000000001,0.0615,117.85600000000001,0.319,0.222,64.0,0
87.0,Nador,Kaaris,26569.0,https://open.spotify.com/track/4jgTc6njkNCMonjSUBz89V,2017-01-01,fr,0.774,0.6679999999999999,0.0466,110.065,0.321,0.0205,71.0,0
88.0,DUELE EL CORAZON,Enrique Iglesias,26324.0,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,2017-01-01,fr,0.7240000000000001,0.904,0.0966,90.999,0.846,0.0786,84.0,0
89.0,Halcyon Birds,Broken Back,26305.0,https://open.spotify.com/track/1WC2ctyzNjpgkhF0dplias,2017-01-01,fr,0.7240000000000001,0.652,0.0363,120.00399999999999,0.723,0.19399999999999998,63.0,0
90.0,Don't Let Me Down,The Chainsmokers,26217.0,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,fr,0.542,0.8590000000000001,0.19699999999999998,159.797,0.40299999999999997,0.16,90.0,0
91.0,Dis-moi que tu m'aimes,Ninho,26209.0,https://open.spotify.com/track/0u6HzAVFUBiKslzPF9G9vd,2017-01-01,fr,0.863,0.52,0.366,107.03200000000001,0.516,0.451,73.0,0
92.0,O.D,Nekfeu,24995.0,https://open.spotify.com/track/1ka8yYr5OnUrh0k59d7Gfd,2017-01-01,fr,0.695,0.649,0.252,154.046,0.611,0.516,71.0,0
93.0,C'est le son de la gratte,Jul,24932.0,https://open.spotify.com/track/2E681kTbT2vG47YqQJSQgw,2017-01-01,fr,0.905,0.629,0.198,133.113,0.914,0.102,74.0,0
