Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
30.0,Manicomio,Cosculluela,64998.0,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,2017-01-01,ar,0.7440000000000001,0.754,0.24,180.03900000000004,0.841,0.0213,77.0,1
31.0,Cuatro Babys,Maluma,64907.0,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,2017-01-01,ar,0.772,0.547,0.0541,130.099,0.0957,0.0983,89.0,1
32.0,Don't Wanna Know,Maroon 5,61714.0,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,ar,0.7829999999999999,0.623,0.08,100.048,0.447,0.338,89.0,1
33.0,Sin Contrato - Remix,Maluma,59903.0,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt,2017-01-01,ar,0.733,0.907,0.158,96.053,0.6609999999999999,0.0264,89.0,1
34.0,24K Magic,Bruno Mars,58801.0,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,ar,0.818,0.8029999999999999,0.0797,106.97,0.632,0.034,92.0,1
35.0,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,56170.0,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,ar,0.667,0.83,0.0749,113.03,0.701,0.0123,89.0,1
36.0,Fuego,Juanes,55902.0,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,2017-01-01,ar,0.7290000000000001,0.667,0.0938,94.952,0.913,0.0461,79.0,1
37.0,Bobo,J Balvin,55360.0,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,2017-01-01,ar,0.7290000000000001,0.888,0.122,177.908,0.8,0.117,94.0,1
38.0,In the Name of Love,Martin Garrix,54980.0,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,ar,0.49,0.485,0.0406,133.889,0.196,0.0592,87.0,1
39.0,Tu Ritmo,Los Bonnitos,54081.0,https://open.spotify.com/track/0BFgCEE7ozbyB1PpLpLyhM,2017-01-01,ar,0.785,0.764,0.0382,105.979,0.972,0.135,52.0,1
40.0,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,53270.0,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,ar,0.6629999999999999,0.713,0.112,101.965,0.69,0.0353,75.0,1
41.0,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,52907.0,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,2017-01-01,ar,0.768,0.742,0.0443,114.679,0.797,0.234,81.0,1
42.0,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,52670.0,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,2017-01-01,ar,0.765,0.8140000000000001,0.0666,164.07299999999995,0.818,0.14400000000000002,95.0,1
43.0,Te Quiero Pa´Mi,Don Omar,51352.0,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,2017-01-01,ar,0.7609999999999999,0.82,0.0623,88.99700000000001,0.619,0.125,79.0,1
44.0,Sin Contrato,Maluma,51115.0,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,2017-01-01,ar,0.782,0.7909999999999999,0.102,96.022,0.8959999999999999,0.14400000000000002,89.0,1
45.0,Picky,Joey Montana,51113.0,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,2017-01-01,ar,0.809,0.742,0.0598,93.233,0.785,0.146,75.0,1
46.0,Work,Rihanna,50655.0,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2017-01-01,ar,0.725,0.534,0.0946,91.974,0.5579999999999999,0.0752,92.0,1
47.0,Noche Loca,Marama,49100.0,https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,2017-01-01,ar,0.752,0.753,0.0661,112.094,0.911,0.104,65.0,1
48.0,Don't Let Me Down,The Chainsmokers,48767.0,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,ar,0.542,0.8590000000000001,0.197,159.797,0.403,0.16,90.0,1
49.0,Hasta el Amanecer,Nicky Jam,47672.0,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,2017-01-01,ar,0.8320000000000001,0.608,0.0385,94.013,0.589,0.282,89.0,1
50.0,Le Hace Falta un Beso,Agapornis,45251.0,https://open.spotify.com/track/300xUYXWhFA6Q1sbNvVItP,2017-01-01,ar,0.753,0.8109999999999999,0.0697,106.014,0.961,0.117,58.0,1
51.0,Cake By The Ocean,DNCE,44524.0,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2017-01-01,ar,0.774,0.764,0.0518,118.997,0.912,0.156,78.0,1
52.0,Chillax,Farruko,44495.0,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,2017-01-01,ar,0.8270000000000001,0.6459999999999999,0.0766,92.057,0.512,0.0724,87.0,1
53.0,Loquita,Marama,43894.0,https://open.spotify.com/track/2xjcDF21U2ccgE2LEeiMbf,2017-01-01,ar,0.698,0.6940000000000001,0.0419,144.018,0.926,0.284,65.0,1
