screen_name,friend
realDonaldTrump,Trump
realDonaldTrump,TrumpGolf
realDonaldTrump,TiffanyATrump
realDonaldTrump,IngrahamAngle
realDonaldTrump,mike_pence
realDonaldTrump,TeamTrump
realDonaldTrump,DRUDGE_REPORT
realDonaldTrump,MrsVanessaTrump
realDonaldTrump,LaraLeaTrump
realDonaldTrump,seanhannity
realDonaldTrump,foxnation
realDonaldTrump,CLewandowski_
realDonaldTrump,AnnCoulter
realDonaldTrump,DiamondandSilk
realDonaldTrump,KatrinaCampins
realDonaldTrump,KatrinaPierson
realDonaldTrump,MichaelCohen212
realDonaldTrump,foxandfriends
realDonaldTrump,MELANIATRUMP
realDonaldTrump,GeraldoRivera
realDonaldTrump,ericbolling
realDonaldTrump,RealRomaDowney
realDonaldTrump,MarkBurnettTV
realDonaldTrump,garyplayer
realDonaldTrump,MagicJohnson
realDonaldTrump,VinceMcMahon
realDonaldTrump,DanScavino
realDonaldTrump,TrumpWaikiki
realDonaldTrump,TrumpDoral
realDonaldTrump,TrumpCharlotte
realDonaldTrump,TrumpLasVegas
realDonaldTrump,TrumpChicago
realDonaldTrump,TrumpGolfDC
realDonaldTrump,TrumpGolfLA
realDonaldTrump,EricTrump
realDonaldTrump,morningmika
realDonaldTrump,JoeNBC
realDonaldTrump,oreillyfactor
realDonaldTrump,greta
realDonaldTrump,piersmorgan
realDonaldTrump,DonaldJTrumpJr
realDonaldTrump,IvankaTrump
Trump,TiffanyATrump
Trump,TrumpJupiter
Trump,TrumpPalmBeach
Trump,TrumpGolf
Trump,TrumpTower
Trump,trumpwinery
Trump,TrumpTurnberry
Trump,TrumpBedminster
Trump,TrumpNationalNY
Trump,TrumpScotland
Trump,TrumpWaikiki
Trump,TrumpDoonbeg
Trump,TrumpPanama
Trump,TrumpToronto
Trump,TrumpHotels
Trump,TrumpChicago
Trump,TrumpLasVegas
Trump,TrumpGolfPhilly
Trump,TrumpColtsNeck
Trump,TrumpGolfHV
Trump,TrumpDC
Trump,TrumpGolfDC
Trump,TrumpGolfLA
Trump,TrumpDoral
Trump,TrumpCharlotte
Trump,TrumpRealty
Trump,TrumpSoHo
Trump,TrumpNewYork
Trump,EricTrumpFdn
Trump,TrumpFerryPoint
Trump,TrumpModels
Trump,DonaldJTrumpJr
Trump,EricTrump
Trump,IvankaTrump
Trump,realDonaldTrump
