Countries,GDP per capita,Population,Life Expectancy
Sierra Leone,2085.00,6453184.00,59.07
Singapore,80794.00,5603740.00,82.10
Slovak Republic,27204.00,5426258.00,77.80
Slovenia,28550.00,2067526.00,81.00
Solomon Islands,2047.00,583591.00,64.40
Somalia,624.00,10787104.00,54.10
Spain,32979.00,46121699.00,82.70
Sri Lanka,10624.00,20715010.00,77.80
Sudan,3975.00,40234882.00,67.80
Suriname,17125.00,542975.00,72.20
Swaziland,6095.00,1286970.00,53.88
Sweden,44892.00,9779426.00,82.10
Switzerland,56118.00,8298663.00,83.10
Syria,4637.00,18502413.00,69.21
Tajikistan,2582.00,8481855.00,72.90
Tanzania,2571.00,53470420.00,64.91
Thailand,14512.00,67959359.00,74.80
Timor-Leste,2086.00,1184765.00,72.50
Togo,1433.00,7304578.00,61.90
Tonga,5069.00,106170.00,71.70
Trinidad and Tobago,30113.00,1360088.00,72.50
Tunisia,11126.00,11253554.00,77.60
Turkey,19360.00,78665830.00,79.30
Turkmenistan,15865.00,5373502.00,70.40
Uganda,1680.00,39032383.00,61.91
Ukraine,8449.00,44823765.00,71.70
United Arab Emirates,60749.00,9156963.00,75.40
United Kingdom,38225.00,64715810.00,81.10
United States,53354.00,321773631.00,79.10
Uruguay,20438.00,3431555.00,77.00
Uzbekistan,5598.00,29893488.00,72.10
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
