Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,53.740002,54.099998,53.200001,53.509998,45.029732,4890300
2010-01-05,53.270000,54.070000,53.029999,54.049999,45.484146,6379300
2010-01-06,54.029999,54.849998,53.669998,54.049999,45.484146,3013600
2010-01-07,53.849998,57.209999,53.750000,56.980000,47.949806,5700800
2010-01-08,56.810001,57.520000,56.099998,57.130001,48.076015,3770800
2010-01-11,57.180000,58.000000,56.930000,57.290001,48.210674,2840700
2010-01-12,56.840000,57.759998,55.919998,56.700001,47.714184,2778300
2010-01-13,56.580002,57.490002,56.290001,57.040001,48.085106,2945800
2010-01-14,56.930000,57.980000,56.439999,57.840000,48.759506,3064100
2010-01-15,57.509998,58.000000,56.430000,56.680000,47.781609,3955300
2010-01-19,56.540001,58.200001,55.720001,57.830002,48.751095,3770800
2010-01-20,57.709999,58.939999,57.299999,58.790001,49.560368,6107900
2010-01-21,57.639999,58.049999,55.009998,55.700001,46.955486,9860900
2010-01-22,56.180000,56.639999,53.310001,53.619999,45.202015,7256500
2010-01-25,54.369999,54.910000,53.070000,54.009998,45.530788,3369800
2010-01-26,53.869999,54.810001,52.599998,52.660000,44.392735,4635100
2010-01-27,52.480000,54.660000,52.439999,54.360001,45.825848,4513800
2010-01-28,54.869999,55.000000,53.200001,54.139999,45.640373,4652600
2010-01-29,55.369999,56.889999,55.200001,55.430000,46.727859,8374700
2010-02-01,55.820000,56.220001,55.009998,55.860001,47.090359,5043100
2010-02-02,55.889999,56.250000,53.799999,54.650002,46.070313,9538100
2010-02-03,54.169998,54.599998,53.669998,53.709999,45.277882,74680900
2010-02-04,53.570000,53.650002,51.000000,51.029999,43.018635,20035300
2010-02-05,51.720001,51.889999,50.459999,51.790001,43.659317,12992600
2010-02-08,51.660000,52.200001,50.610001,50.750000,42.782597,6601800
2010-02-09,51.490002,52.080002,50.459999,51.060001,43.043915,9227900
2010-02-10,51.180000,52.029999,50.910000,51.279999,43.229385,5768000
2010-02-11,51.310001,51.700001,50.740002,51.400002,43.330555,4962000
2010-02-12,51.410000,51.610001,50.599998,51.520000,43.431709,7488900
2010-02-16,51.740002,52.500000,51.270000,52.439999,44.207268,6835200
2010-02-17,52.799999,52.799999,51.400002,51.849998,43.709900,6298200
2010-02-18,51.470001,52.220001,51.439999,51.869999,43.726761,3664900
2010-02-19,51.650002,52.139999,51.310001,51.700001,43.583443,5378500
2010-02-22,52.380001,53.610001,52.369999,53.169998,44.822662,6449300
2010-02-23,53.070000,53.389999,52.090000,52.560001,44.308437,6263700
2010-02-24,52.820000,53.820000,52.290001,53.779999,45.336906,5567400
2010-02-25,53.490002,53.650002,52.599998,53.639999,45.218876,4679600
2010-02-26,53.599998,54.060001,53.130001,53.759998,45.320038,7781200
2010-03-01,53.889999,54.000000,53.279999,53.810001,45.362186,3469300
2010-03-02,53.529999,54.230000,53.110001,53.509998,45.109299,6209200
2010-03-03,53.590000,54.340000,53.410000,53.750000,45.311604,4097500
2010-03-04,53.939999,54.299999,53.689999,54.200001,45.690975,4973800
2010-03-05,54.650002,55.680000,54.320000,55.570000,46.845890,5536200
2010-03-08,56.270000,56.290001,55.500000,55.529999,46.812160,3620200
2010-03-09,55.439999,56.500000,55.049999,56.189999,47.368546,5344600
2010-03-10,56.490002,57.599998,56.119999,57.400002,48.388580,6290900
2010-03-11,57.259998,58.450001,56.930000,58.439999,49.265308,5273800
2010-03-12,58.770000,58.919998,57.669998,57.860001,48.776363,3832100
2010-03-15,57.419998,57.580002,56.349998,57.299999,48.304276,4619100
2010-03-16,57.430000,58.619999,57.330002,58.619999,49.417049,4174600
2010-03-17,58.849998,60.099998,58.590000,59.959999,50.546677,6055100
2010-03-18,59.910000,59.980000,58.430000,59.200001,49.905994,4277000
2010-03-19,59.610001,60.139999,58.840000,59.610001,50.251629,4548100
2010-03-22,58.959999,60.090000,58.840000,59.849998,50.453941,3035600
2010-03-23,59.810001,59.980000,58.799999,59.810001,50.420235,2574600
2010-03-24,59.619999,60.560001,59.360001,59.869999,50.470806,3476900
2010-03-25,60.209999,61.799999,59.840000,59.930000,50.521393,5465700
2010-03-26,59.980000,60.959999,59.180000,59.570000,50.217903,3660000
2010-03-29,60.000000,60.160000,58.959999,59.470001,50.133606,2715900
2010-03-30,59.470001,59.580002,58.119999,58.689999,49.476063,4012300
2010-03-31,58.430000,60.000000,58.279999,59.700001,50.327496,3886900
2010-04-01,60.169998,60.730000,59.889999,60.240002,50.782726,3070600
2010-04-05,60.500000,61.700001,60.340000,61.660000,51.979786,3057700
2010-04-06,61.380001,62.650002,61.369999,62.580002,52.755363,3588900
2010-04-07,62.689999,63.349998,62.119999,62.500000,52.687912,4354800
2010-04-08,62.360001,64.769997,62.189999,64.099998,54.036728,6012100
2010-04-09,64.360001,64.800003,63.490002,64.800003,54.712200,4953900
2010-04-12,64.830002,65.750000,64.830002,65.269997,55.109009,4676600
2010-04-13,64.779999,65.000000,63.360001,63.619999,53.715881,5822200
2010-04-14,63.860001,65.669998,63.860001,65.160004,55.016148,4288500
2010-04-15,64.970001,65.349998,64.010002,64.160004,54.171825,3869100
2010-04-16,64.019997,64.019997,60.790001,63.020000,53.209297,9749100
2010-04-19,62.590000,63.880001,62.169998,63.500000,53.614571,5084600
2010-04-20,64.070000,64.940002,63.240002,64.919998,54.813507,3336600
2010-04-21,64.879997,66.489998,64.120003,65.300003,55.134357,6041400
2010-04-22,66.849998,69.239998,66.389999,68.820000,58.106358,10169800
2010-04-23,69.489998,70.449997,68.870003,69.639999,58.798725,6376800
2010-04-26,69.889999,69.889999,66.699997,66.769997,56.375504,4366300
2010-04-27,66.680000,68.449997,66.019997,66.089996,55.801369,5800900
2010-04-28,66.099998,66.980003,64.709999,65.470001,55.277878,7214900
2010-04-29,66.230003,67.309998,65.790001,66.059998,55.776035,7641300
2010-04-30,65.900002,67.699997,65.889999,67.209999,56.747002,9616700
2010-05-03,67.449997,68.620003,67.050003,68.570000,57.895306,4947600
2010-05-04,67.680000,67.769997,65.970001,66.459999,56.113773,5319000
2010-05-05,65.779999,68.879997,65.419998,67.589996,57.067848,7599000
2010-05-06,67.160004,68.010002,60.860001,64.410004,54.382908,9571500
2010-05-07,64.500000,65.660004,63.310001,64.139999,54.154930,6822800
2010-05-10,67.449997,68.449997,66.389999,67.839996,57.278934,5981400
2010-05-11,66.739998,69.680000,66.529999,68.610001,57.929062,4931200
2010-05-12,68.970001,69.190002,68.070000,68.519997,57.853065,3676400
2010-05-13,68.160004,68.790001,66.980003,66.989998,56.561253,3898300
2010-05-14,66.389999,66.720001,64.699997,65.610001,55.396088,5403200
2010-05-17,65.720001,66.489998,64.250000,65.849998,55.598732,4444900
2010-05-18,66.440002,66.440002,63.169998,63.680000,53.766560,7212100
2010-05-19,63.099998,64.150002,61.279999,62.779999,53.006657,6555200
2010-05-20,61.259998,62.139999,60.380001,60.549999,51.123806,6822600
2010-05-21,59.520000,62.869999,59.279999,62.759998,52.989769,7506900
2010-05-24,62.240002,62.500000,60.419998,60.560001,51.132256,6539200
2010-05-25,59.009998,61.900002,58.770000,61.799999,52.179226,6460200
2010-05-26,61.990002,62.740002,61.020000,61.630001,52.035686,7511900
2010-05-27,62.520000,64.559998,62.130001,64.470001,54.433563,4436300
2010-05-28,64.230003,64.290001,62.320000,62.750000,52.981319,3666500
2010-06-01,62.209999,63.750000,61.119999,61.160000,51.638855,3816300
2010-06-02,61.849998,63.700001,61.459999,63.689999,53.774986,4386400
2010-06-03,63.970001,63.990002,61.750000,62.040001,52.381851,5001500
2010-06-04,60.849998,61.310001,58.500000,58.680000,49.544933,7212200
2010-06-07,59.080002,60.220001,58.230000,58.310001,49.232533,5197800
2010-06-08,58.450001,59.349998,57.590000,59.240002,50.017746,4785000
2010-06-09,59.330002,59.450001,57.750000,58.009998,48.979237,4650200
2010-06-10,58.840000,60.730000,58.840000,60.580002,51.149151,3891900
2010-06-11,59.669998,61.330002,59.630001,61.250000,51.714844,3648300
2010-06-14,61.669998,61.689999,60.119999,60.200001,50.828300,3723000
2010-06-15,60.840000,62.009998,60.200001,61.959999,52.314316,4289200
2010-06-16,61.509998,62.830002,61.459999,62.349998,52.643581,3366300
2010-06-17,62.380001,62.490002,61.310001,62.189999,52.508495,2891900
2010-06-18,62.450001,62.950001,61.930000,62.779999,53.006657,4931000
2010-06-21,63.689999,63.810001,61.529999,61.869999,52.238323,3327300
2010-06-22,62.009998,62.110001,60.520000,60.630001,51.191353,3664800
2010-06-23,60.630001,61.430000,60.279999,60.709999,51.258904,3348300
2010-06-24,60.110001,60.410000,58.889999,59.070000,49.874214,3909400
2010-06-25,59.880001,61.220001,59.490002,61.029999,51.529091,4655600
2010-06-28,61.230000,61.299999,59.740002,59.830002,50.515900,3066500
2010-06-29,58.970001,59.590000,57.259998,57.580002,48.616169,5042000
2010-06-30,57.400002,58.220001,56.299999,56.500000,47.704304,3691300
2010-07-01,56.500000,57.389999,54.529999,56.320000,47.552319,5283900
2010-07-02,56.700001,56.959999,55.279999,55.669998,47.003510,3034100
2010-07-06,56.689999,57.369999,55.990002,56.740002,47.906944,4127900
2010-07-07,57.310001,61.230000,57.029999,61.150002,51.630402,8428900
2010-07-08,61.349998,61.599998,60.060001,61.139999,51.621960,4902900
2010-07-09,61.040001,62.049999,60.759998,61.889999,52.255211,3836500
2010-07-12,61.639999,61.919998,60.639999,61.490002,52.001492,2238800
2010-07-13,62.380001,62.990002,61.990002,62.740002,53.058605,3465000
2010-07-14,62.220001,62.220001,60.299999,61.290001,51.832355,5863100
2010-07-15,61.360001,61.529999,59.240002,60.880001,51.485622,3487300
2010-07-16,59.970001,60.419998,57.889999,58.230000,49.244545,5482800
2010-07-19,58.430000,58.549999,56.709999,57.970001,49.024670,4397700
2010-07-20,57.160000,59.029999,56.709999,58.939999,49.844975,5042000
2010-07-21,60.000000,60.080002,58.060001,58.540001,49.506710,5534700
2010-07-22,59.840000,61.099998,59.500000,59.779999,50.555370,6205100
2010-07-23,59.459999,61.500000,59.020000,61.020000,51.604019,3771400
2010-07-26,61.169998,62.270000,60.500000,61.849998,52.305950,2995400
2010-07-27,62.000000,62.740002,61.270000,61.299999,51.840813,3473100
2010-07-28,60.910000,61.450001,58.930000,59.630001,50.428513,5685300
2010-07-29,60.720001,60.939999,58.910000,59.599998,50.403141,3289200
2010-07-30,58.980000,59.840000,58.669998,59.389999,50.225548,2326600
2010-08-02,60.209999,61.000000,59.470001,60.959999,51.553291,3153000
2010-08-03,60.689999,60.820000,59.950001,60.349998,51.037418,2688600
2010-08-04,60.450001,60.500000,59.770000,60.330002,51.020493,3008500
2010-08-05,59.849998,60.360001,59.500000,60.169998,50.885189,2984600
2010-08-06,59.189999,59.480000,57.680000,58.830002,49.751968,3957700
2010-08-09,59.180000,59.209999,57.639999,58.020000,49.066959,4955000
2010-08-10,57.279999,59.200001,57.279999,58.709999,49.650475,4110600
2010-08-11,57.610001,58.150002,56.639999,56.750000,47.992928,5081600
2010-08-12,55.740002,56.930000,55.740002,56.090000,47.434769,4220000
2010-08-13,56.150002,56.450001,55.020000,55.090000,46.589073,4700500
2010-08-16,54.810001,55.779999,54.709999,55.639999,47.054207,2822900
2010-08-17,56.240002,56.360001,55.279999,55.419998,46.868164,5436900
2010-08-18,55.540001,56.360001,55.020000,56.259998,47.578529,4148700
2010-08-19,55.930000,56.330002,54.259998,54.290001,45.912525,4463000
2010-08-20,54.270000,54.349998,52.480000,52.730000,44.593254,7096800
2010-08-23,53.299999,53.500000,52.130001,52.150002,44.102745,4843800
2010-08-24,51.480000,51.730000,50.490002,50.560001,42.758102,7631000
2010-08-25,50.240002,50.740002,49.430000,50.540001,42.741177,6213900
2010-08-26,50.650002,51.880001,50.490002,50.529999,42.732735,8426600
2010-08-27,50.820000,52.060001,50.200001,51.970001,43.950531,4797400
2010-08-30,51.560001,51.669998,50.310001,50.360001,42.588959,2738100
2010-08-31,50.389999,51.480000,50.099998,50.990002,43.121750,3758400
2010-09-01,51.880001,53.439999,51.410000,53.189999,44.982277,6432000
2010-09-02,53.090000,54.160000,53.000000,54.110001,45.760303,3942000
2010-09-03,54.680000,55.169998,54.160000,54.930000,46.453773,3447400
