2018-03-30 15:16:03,b'SCM COE #Business #Consultant needed in #Dallas at #SouthwestAirlines. Apply now! #job https://t.co/jGAOpIi583 https://t.co/5BcofQkzcw'
2018-03-30 15:08:33,"b'#SouthwestAirlines is hiring a Strategic #Sourcing Manager - #Technology in #Dallas, apply now! #job\xe2\x80\xa6 https://t.co/PhzjA1XvRs'"
2018-03-30 14:44:20,b'RT @Travelplusfam: My First Experience with Southwest Airlines https://t.co/PKclYRzvCJ #southwestairlines #travel #traveltip'
2018-03-30 14:35:13,b'My First Experience with Southwest Airlines https://t.co/PKclYRzvCJ #southwestairlines #travel #traveltip'
2018-03-30 14:33:39,"b'Ramp #Agent needed in #EastBoston, apply now at #SouthwestAirlines! #job https://t.co/ETcGII3TDF https://t.co/HmZ0AQi86Q'"
2018-03-30 14:13:40,b'Check out this #job: Ramp #Agent #PartTime at #SouthwestAirlines (#Oakland) https://t.co/BItH2PzpoS https://t.co/Pg8Tr1q6g1'
2018-03-30 14:10:07,"b'Thank you to @SouthwestAir Skycap Terry who helped out this panicked passenger! Packing tape, like duck tape, fixes\xe2\x80\xa6 https://t.co/rtId4p6IWC'"
2018-03-30 13:33:06,b'Check out this #job: #Supply Chain #Attorney at #SouthwestAirlines in #Dallas https://t.co/Nwao7LkMgb https://t.co/2wnh5kYn25'
2018-03-30 12:38:48,"b'Boarding pass check, headphones check, @SouthwestAir WiFi check, Flight playlist check, friendly skies and great\xe2\x80\xa6 https://t.co/l379QNLRCa'"
2018-03-30 12:17:12,b'Wedding Info: https://t.co/AnGjSM9nyf #california #destinationweddings #elope #flygirl #license #losangeles\xe2\x80\xa6 https://t.co/useUj8Ndrf'
2018-03-30 07:41:49,"b'After a 3hrs delay, we are finally getting ready to board. #SouthwestAirlines #FINALLY'"
2018-03-30 05:56:47,"b'RT @Alexis_kristina: My flight attendant: please make sure that the baggage you brought on board, wether real or emotional, is tucked under\xe2\x80\xa6'"
2018-03-30 05:48:33,"b'RT @Alexis_kristina: My flight attendant: please make sure that the baggage you brought on board, wether real or emotional, is tucked under\xe2\x80\xa6'"
2018-03-30 05:31:00,"b'I walk off the plane and as I look back, I see him LAUGHING *with the pilot*\n\n#SouthwestAirlines - I should not be\xe2\x80\xa6 https://t.co/7SUBJzfvVn'"
2018-03-30 03:24:29,"b'#SouthwestAirlines is hiring a Provisioning #Agent #PartTime in #SanJose, apply now! #job https://t.co/XYQFwG3VwY https://t.co/HGvucq8qQS'"
2018-03-30 02:04:20,b'PEOPLE ARE ALWAYS WATCHING!\n\n#kingslovegold\n#klglifestyle\n#southwest \n#southwestairlines \n#performance \n#life\xe2\x80\xa6 https://t.co/c3TzycePrP'
2018-03-30 01:41:28,"b'#SouthwestAirlines is hiring a Ramp #Agent, apply now! (#SanJose) #job https://t.co/g2NGUobmNl https://t.co/726iLvZloQ'"
2018-03-30 01:26:01,"b'#SouthwestAirlines is looking for a Customer #Service #Agent in #Omaha, apply now! #job https://t.co/0H0uH3musZ https://t.co/AA0MdCxlgy'"
2018-03-30 01:12:47,"b'Full flight today out of #SJC today, entering from the front and rear; #SouthwestAirlines keeping it light \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Yf5IZXmAO9'"
2018-03-30 01:09:36,"b""#SouthwestAirlines your app says flight 824 departed at 5:47. No it didn't. I'm on it, we're still at the gate 90 m\xe2\x80\xa6 https://t.co/e74afz8SFh"""
2018-03-30 01:09:30,"b'#SouthwestAirlines is hiring a Customer #Service #Agent, apply now! (#Omaha) #job https://t.co/3Bg62zNUAs https://t.co/mgeiSNYr7j'"
2018-03-30 01:00:57,b'RT @yrkddng: Check out this #job: Privacy and #Transaction #Attorney at #SouthwestAirlines (#Dallas) https://t.co/fjslWQU6hE https://t.co/K\xe2\x80\xa6'
2018-03-30 01:00:49,"b'RT @EConcilio: #SouthwestAirlines is hiring a #Project #Engineer II in #Dallas, apply now! #job https://t.co/VY73Ja1Eej https://t.co/aBUUvS\xe2\x80\xa6'"
2018-03-30 00:58:05,"b'#SouthwestAirlines is hiring a #Project #Engineer II in #Dallas, apply now! #job https://t.co/VY73Ja1Eej https://t.co/aBUUvSWUad'"
